ontology_name,strategy,tool_name,runtime_s,hypothesis_size,hypothesis_class_count,recovery_rate,recovered_set_precision,valid_explanation,timed_out,peak_memory_mb
ore_ont_12342,C,AAA,"ERROR: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""aterm.ATerm.hashCode()"" because the return value of ""aterm.pure.ATermApplImpl.getArgument(int)"" is null
	at aterm.pure.ATermApplImpl.hashFunction(ATermApplImpl.java:334)
	at aterm.pure.ATermApplImpl.<init>(ATermApplImpl.java:63)
	at aterm.pure.PureFactory.makeAppl(PureFactory.java:174)
	at aterm.pure.PureFactory.makeAppl(PureFactory.java:170)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1221)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1127)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1219)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1127)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1219)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1127)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1219)
	at tableauReasoning.TableauManager.loadModel(TableauManager.java:262)
	at MHS.MinimalHittingSetAlg.isConsistent(MinimalHittingSetAlg.java:339)
	at MHS.MinimalHittingSetAlg.nextStepOfHS(MinimalHittingSetAlg.java:125)
	at MHS.MinimalHittingSetAlg.addNode(MinimalHittingSetAlg.java:98)
	at abductiveReasoning.AbductionDLReasoner.runAAA(AbductionDLReasoner.java:128)
	at abductiveReasoning.MoreObsManager.run(MoreObsManager.java:247)
	at abductiveReasoning.AAA.doMain(AAA.java:131)
	at abductiveReasoning.AAA.main(AAA.java:67)",,,,,,False,0.25
ore_ont_13299,A,CATS,306.11678886413574,0,0,,,,False,0.25
ore_ont_13299,A,LETHE,5.628618478775024,1,1,0.0,0.0,True,False,5.92
ore_ont_13299,A,AAA,TIMEOUT,,,,,,True,1.02
ore_ont_13299,B,CATS,307.1360213756561,0,0,,,,False,0.25
ore_ont_13299,B,LETHE,TIMEOUT,,,,,,True,168.74
ore_ont_13299,B,AAA,TIMEOUT,,,,,,True,1.02
ore_ont_13299,C,CATS,306.4906346797943,0,0,,,,False,0.25
ore_ont_13299,C,LETHE,TIMEOUT,,,,,,True,168.59
ore_ont_13299,C,AAA,TIMEOUT,,,,,,True,1.02
ore_ont_13383,A,CATS,302.5281801223755,0,0,,,,False,0.25
ore_ont_13383,A,LETHE,1.3559832572937012,1,1,0.0,0.0,True,False,1.13
ore_ont_13383,A,AAA,TIMEOUT,,,,,,True,0.21
ore_ont_13383,B,CATS,301.9863028526306,0,0,,,,False,0.25
ore_ont_13383,B,LETHE,4.722785234451294,1,0,,,False,False,10.87
ore_ont_13383,B,AAA,TIMEOUT,,,,,,True,0.2
ore_ont_13383,C,CATS,302.0022282600403,0,0,,,,False,0.25
ore_ont_13383,C,LETHE,4.7283408641815186,1,0,,,False,False,11.16
ore_ont_13383,C,AAA,TIMEOUT,,,,,,True,0.21
ore_ont_13805,A,CATS,25.349125862121582,0,0,,,,False,0.26
ore_ont_13805,A,LETHE,1.2664859294891357,1,1,0.0,0.0,True,False,0.79
ore_ont_13805,A,AAA,TIMEOUT,,,,,,True,0.16
ore_ont_13805,B,CATS,9.512080669403076,0,0,,,,False,0.26
ore_ont_13805,B,LETHE,1.6834089756011963,0,0,,,,False,2.17
ore_ont_13805,B,AAA,TIMEOUT,,,,,,True,0.16
