ontology_name,strategy,tool_name,runtime_s,hypothesis_size,hypothesis_class_count,recovery_rate,recovered_set_precision,valid_explanation,timed_out,peak_memory_mb
ore_ont_11497,eq3,AAA,1.12923264503479,0,0,,,,False,
ore_ont_11497,eq4,CATS,3.2223305702209473,1,1,1.0,1.0,True,False,281.46
ore_ont_11497,eq4,LETHE,1.348968267440796,1,1,1.0,1.0,True,False,187.15
ore_ont_11497,eq4,AAA,1.139038324356079,0,0,,,,False,
ore_ont_11497,eq5,CATS,4.211095809936523,4,4,1.0,0.25,True,False,303.82
ore_ont_11497,eq5,LETHE,1.3530182838439941,2,2,1.0,0.5,True,False,185.62
ore_ont_11497,eq5,AAA,1.1538000106811523,0,0,,,,False,
ore_ont_11685,eq1,CATS,18.16773009300232,25,25,1.0,0.04,True,False,1038.24
ore_ont_11685,eq1,LETHE,4.511902093887329,16,16,1.0,0.0625,True,False,369.81
ore_ont_11685,eq1,AAA,TIMEOUT,,,,,,True,
ore_ont_11685,eq2,CATS,4.88801383972168,2,2,1.0,0.5,True,False,460.49
ore_ont_11685,eq2,LETHE,4.670421123504639,3,3,1.0,0.3333333333333333,True,False,352.27
ore_ont_11685,eq2,AAA,TIMEOUT,,,,,,True,
ore_ont_11685,eq3,CATS,5.860710382461548,3,3,1.0,0.3333333333333333,True,False,538.42
ore_ont_11685,eq3,LETHE,4.606943130493164,4,4,1.0,0.25,True,False,367.96
ore_ont_11685,eq3,AAA,TIMEOUT,,,,,,True,
ore_ont_11685,eq4,CATS,11.315556287765503,9,9,1.0,0.1111111111111111,True,False,748.64
ore_ont_11685,eq4,LETHE,4.3853864669799805,8,8,1.0,0.125,True,False,377.77
ore_ont_11685,eq4,AAA,TIMEOUT,,,,,,True,
ore_ont_11685,eq5,CATS,12.857996940612793,12,12,1.0,0.08333333333333333,True,False,889.13
ore_ont_11685,eq5,LETHE,2.809591054916382,12,12,1.0,0.08333333333333333,True,False,296.39
ore_ont_11685,eq5,AAA,TIMEOUT,,,,,,True,
ore_ont_12948,eq1,CATS,1.1437392234802246,0,0,,,,False,150.11
ore_ont_12948,eq1,LETHE,1.2489912509918213,1,1,1.0,1.0,True,False,145.28
ore_ont_12948,eq1,AAA,TIMEOUT,,,,,,True,
ore_ont_12948,eq2,CATS,1.0680384635925293,0,0,,,,False,142.82
ore_ont_12948,eq2,LETHE,1.3381502628326416,1,1,1.0,1.0,True,False,140.64
ore_ont_12948,eq2,AAA,TIMEOUT,,,,,,True,
ore_ont_12948,eq3,CATS,1.0361523628234863,0,0,,,,False,145.48
ore_ont_12948,eq3,LETHE,1.2743175029754639,5,5,1.0,0.2,True,False,146.92
ore_ont_12948,eq3,AAA,TIMEOUT,,,,,,True,
ore_ont_12948,eq4,CATS,1.575378179550171,0,0,,,,False,150.45
